# Yale Bright Star Catalogue (BSC5), Hoffleit & Warren 1991, ADC/CDS V/50.
# Trimmed for the Simathon 02 demo. Source: tdc-www.harvard.edu/catalogs/bsc5.dat.gz
# ra_deg,dec_deg,vmag,b_v,dist_pc   (dist_pc = 0 means no usable parallax)
11.04750,-10.60944,4.760,1.010,45.5
11.05042,-38.42167,5.900,1.160,100.0
11.32167,55.22167,5.420,0.040,83.3
11.18500,-22.00611,5.240,0.330,20.8
11.23792,-42.67667,5.940,0.280,0.0
11.13458,-62.49778,6.070,0.440,0.0
11.66250,69.32500,6.330,0.000,0.0
11.35042,-4.62917,6.150,1.620,0.0
11.25000,-53.71500,6.150,0.530,0.0
11.36958,-12.88083,6.150,0.610,0.0
11.56292,55.30528,6.520,0.000,0.0
11.54542,44.86139,6.050,-0.070,0.0
11.42375,-16.42417,6.470,0.310,0.0
11.67667,59.57444,6.390,1.090,0.0
11.94208,74.84750,5.410,-0.080,0.0
11.44000,-47.55167,5.800,0.640,20.4
11.54917,-22.52194,5.500,0.980,47.6
11.63750,15.47556,5.380,1.650,66.7
12.03792,72.67500,5.870,1.010,0.0
11.75625,11.97389,5.500,0.970,0.0
11.80667,19.57889,6.130,0.270,0.0
11.83458,24.26722,4.060,1.120,27.0
11.84833,6.74083,5.990,0.940,0.0
11.97833,20.92528,6.540,0.500,45.5
11.93042,-18.06139,5.700,1.300,0.0
12.27500,57.81583,3.440,0.570,5.7
12.00458,-21.72250,5.570,-0.060,0.0
12.07250,7.30000,5.930,1.100,0.0
12.09583,5.28056,5.750,0.880,6.9
12.20875,50.96833,4.890,-0.110,0.0
12.17083,7.58500,4.430,1.500,52.6
12.24458,16.94056,5.070,0.510,21.3
12.45333,41.07889,4.530,-0.150,0.0
12.35667,-13.56139,5.590,1.300,0.0
12.30792,-24.13639,5.900,0.950,0.0
12.23625,-46.69778,6.270,0.900,0.0
12.47000,27.71083,7.000,0.360,90.9
12.47167,27.71028,7.100,0.000,90.9
12.38917,-23.36167,6.280,0.130,0.0
12.68167,64.24750,5.390,0.490,0.0
12.57625,45.00222,6.150,0.010,0.0
12.53167,-10.64444,5.190,0.500,15.4
12.14750,-74.92333,5.070,1.370,40.0
12.81833,61.80583,6.070,1.880,0.0
12.73917,51.50806,6.390,0.280,0.0
12.51542,-43.39472,6.480,0.290,0.0
13.72125,83.70722,5.620,0.090,0.0
12.89042,51.57111,6.210,0.000,0.0
12.67167,-50.98694,5.220,0.360,200.0
12.82625,3.38500,6.370,1.070,0.0
13.26708,61.12417,4.820,0.530,15.2
12.96708,-43.70917,6.900,0.350,142.9
13.22250,38.54861,6.690,0.020,0.0
13.16917,-24.00583,5.460,1.240,142.9
13.25208,-1.14417,4.770,1.570,0.0
13.36750,37.41806,6.060,1.140,0.0
13.44833,52.68917,6.270,0.190,76.9
13.30167,-24.77694,6.460,0.440,166.7
13.10125,-69.50444,6.220,0.560,0.0
13.75042,58.97278,4.830,1.210,166.7
13.64667,19.18833,5.740,-0.010,71.4
13.57333,-8.74083,6.160,0.920,0.0
13.77167,48.67861,6.270,1.680,0.0
13.40792,-62.87139,5.700,1.560,0.0
13.74167,23.62833,5.470,1.000,45.5
13.81125,24.55694,6.200,1.620,0.0
14.05375,57.99667,6.210,1.370,0.0
14.23167,68.77611,6.370,0.380,0.0
13.99375,27.20944,6.090,0.140,0.0
13.92667,-7.34722,5.850,1.520,0.0
14.17708,60.71667,2.470,-0.150,62.5
14.16583,59.18111,4.630,0.960,19.6
14.19625,60.36278,5.550,-0.070,142.9
